"","name","affiliation"
"1","79 others",NA
"2","Allen, S. T.","Univ. Nevada Reno"
"3","Ammer, S. T. M.","Vrije Univ. Amsterdam"
"4","Anderegg, W. R. L.","Univ. Utah"
"5","Arens, S.","Univ. Utah"
"6","Arnold, T. E.","Univ. Pittsburgh"
"7","Baczynski, A. A.","Penn. State Univ."
"8","Bares, R.","Univ. Utah"
"9","Bassouni, M.","UC Berkeley"
"10","Bataille, C. P.","Univ. Ottawa"
"11","Belcher, C. M.","Univ. Exeter"
"12","Bhuiyan, S.","Univ. Ottawa"
"13","Bowen, B. B.","Univ. Utah"
"14","Bowen, G. J. #",NA
"15","Bowling, D. R.","Univ. Utah"
"16","Breecker, D. O. #",NA
"17","Briefer, L.","SLC Dept. Public Utilities"
"18","Brooks, J. R.","US EPA"
"19","Brooks, P. D.","Univ. Utah"
"20","Burian, S.","Univ. Alabama"
"21","Bustamante-Ortega, R.","CIREN Santiago Chile"
"22","Butler, Z.","Oregon State Univ."
"23","Buzon, M. R.","Purdue Univ."
"24","Cai, Z.","Yunnan Univ."
"25","Carey, A.","Ohio State Univ."
"26","Carpenter, N. A.",NA
"27","Cauquoin, A.","Univ. Tokyo"
"28","Cerling, T. E.","Univ. Utah"
"29","Chakraborty, S.","Savitribai Phule Pune Univ., India"
"30","Chartrand, M. M. G.","Univ. Ottawa"
"31","Chen, D.","Chinese Academy of Sciences"
"32","Chen, Y.","Yunnan Univ."
"33","Cheng, Y.","National Univ. Singapore"
"34","Chesson, L. A.","U.S. DoD"
"35","Chorak, G. M.","Montana St. Univ."
"36","Clapp, D. F.","Michigan DNR"
"37","Codron, F.","CNRS France"
"38","Collins, S. C.",NA
"39","Collinson, M. E.","Royal Holloway Univ."
"40","Comeleo, R. L.","US EPA"
"41","Contina, A.","Univ. Utah"
"42","Contreras, S.","Univ. Catolica de la Santsima Concepcion"
"43","Cotton, J. M.","CSU Northridge"
"44","Coulombe, R.","CSS, Inc."
"45","Courtiol, A.","Leibnitz Inst. Zoology, Germany"
"46","Crowley, B. E.","Univ. Cincinatti"
"47","Cui, J.","Peking Univ."
"48","Davidheiser-Kroll, B.","Univ. Colorado"
"49","Denis, E. H.","PNNL"
"50","Dennison, P. E.","Univ. Utah"
"51","Diaz, M.","Ohio State Univ."
"52","Diefendorf, A. F.","Univ. Cincinatti"
"53","Eglinton, T. I.","ETH Zurich"
"54","Ehleringer, J. R.","Univ. Utah"
"55","Eiriksson, D.","Univ. Utah"
"56","Fasoli, B.","Univ. Utah"
"57","Fernandez, D. P.",NA
"58","Finkenbiner, C. E.","Oregon State Univ."
"59","Fiorella, R. P","Los Alamos National Lab"
"60","Fiorella, R. P.","Univ. Utah"
"61","Fischer-Femal, B. J.","Univ. Utah"
"62","Florian, C. R.","NEON"
"63","Foley, C. J","Purdue Univ."
"64","Foley, K.","Ball Corporation"
"65","Freeman, K. H.","Penn. State Univ."
"66","Gelderloos, A.","Univ. Utah"
"67","Ghouri, S.",NA
"68","Gomez-Navarro, C.","Univ. Utah"
"69","Good, S. P.","Oregon State Univ."
"70","Guo, J. S.","Univ. Arizona"
"71","Guo, R.","Chinese Academy of Sciences"
"72","Guo, X.","Chinese Academy of Sciences"
"73","H<f6>nisch, B.#",NA
"74","Haagsma, M.","Oregon State Univ."
"75","Hallar, A. G.","Univ. Utah"
"76","Hanson, C. V.","Oregon State Univ."
"77","Harrington, G. J.","Univ. Birmingham"
"78","Havranek, R. E.","Univ. of Colorado"
"79","Hawkins, L. R.","NCAR"
"80","He, X.","National Univ. Singapore"
"81","Hinners, S. J.","Univ. Utah"
"82","Hobson, K. A.","Western Univ., Canada"
"83","Hook, T. O.",NA
"84","Horel, J. D.","Univ. Utah"
"85","Horns, J. J.","Univ. Utah"
"86","Howa, J. D.","Isoforensics, Inc"
"87","Jacques, A. A.","Univ. Utah"
"88","Jamison, L. R.","Univ. Utah"
"89","Janetski, D. J.","IUPUI"
"90","Jardine, P. E.","Open Univ."
"91","Jian, Z.","Tonji Univ., China"
"92","Jing, Z.","National Laboratory for Marine Science and Technology, China"
"93","Johnson, H. M.","USGS"
"94","Ju, S.-J.","Korea Inst. Ocean Sci. and Techology"
"95","Kirkham, T.","SLC Dept. Public Utilities"
"96","Kwon, H. J.","Oregon State Univ."
"97","Lear, C. H.","Univ. of Cardiff"
"98","Lewis, S.","James Cook Univ."
"99","Li, B.","Oregon State Univ."
"100","Li, L. Z. X.","CNRS France"
"101","Li, S.","Tsinghua Univ."
"102","Li, Y.","Yunnan Univ."
"103","Lin, J. C.","Univ. Utah"
"104","Liu, Z.","Tongji Univ., China"
"105","Lopez-Ma<f1>as, R.",NA
"106","Luo, H.","NEON"
"107","Luo, W.","Chinese Academy of Sciences"
"108","Lyons, B.","Ohio State Univ."
"109","Ma, C.","Univ. Idaho"
"110","Ma, W.","Second Inst. of Oceanography, China"
"111","Ma, Y.","Chinese Academy of Sciences"
"112","Magozzi, S.","Univ. Utah"
"113","Maibauer, B. J.","Chevron"
"114","Martins, D. J.",NA
"115","McInerney, F. A.","Univ. Adelade, Australia"
"116","McMahon, K. W.","Univ. Rhode Island"
"117","Mendoza, D. L.","Univ. Utah"
